TABLE_NAME,TABLE_NUMBER,COMMODITY_DESCRIPTION,CLASS_DESCRIPTION,YEAR,REFERENCE_PERIOD_DESCRIPTION,LOCATION_DESCRIPTION,STATISTIC_DESCRIPTION,VALUE,UNIT_DESCRIPTION
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SUPER,1985,July,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SPECIAL,1985,July,THAILAND,FREIGHT ON BOARD PRICE,106.54,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,FRAGRANT WHITE RICE,1985,MARKETING,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,100-PERCENT GRADE B,1985,MARKETING,THAILAND,FREIGHT ON BOARD PRICE,191.13,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT PARBOILED,1985,MARKETING,THAILAND,FREIGHT ON BOARD PRICE,157.46,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT BROKEN,1985,MARKETING,THAILAND,FREIGHT ON BOARD PRICE,181.26,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,15-PERCENT BROKEN,1985,MARKETING,THAILAND,FREIGHT ON BOARD PRICE,167.02,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,25-PERCENT BROKEN,1985,MARKETING,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,35-PERCENT BROKEN,1985,MARKETING,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SUPER,1985,MARKETING,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SPECIAL,1985,MARKETING,THAILAND,FREIGHT ON BOARD PRICE,99.64,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,FRAGRANT WHITE RICE,1986,August,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,100-PERCENT GRADE B,1986,August,THAILAND,FREIGHT ON BOARD PRICE,190.75,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT PARBOILED,1986,August,THAILAND,FREIGHT ON BOARD PRICE,172.75,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT BROKEN,1986,August,THAILAND,FREIGHT ON BOARD PRICE,185.75,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,15-PERCENT BROKEN,1986,August,THAILAND,FREIGHT ON BOARD PRICE,172.5,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,25-PERCENT BROKEN,1986,August,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,35-PERCENT BROKEN,1986,August,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SUPER,1986,August,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SPECIAL,1986,August,THAILAND,FREIGHT ON BOARD PRICE,122,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,FRAGRANT WHITE RICE,1986,September,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,100-PERCENT GRADE B,1986,September,THAILAND,FREIGHT ON BOARD PRICE,179,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT PARBOILED,1986,September,THAILAND,FREIGHT ON BOARD PRICE,161.33,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT BROKEN,1986,September,THAILAND,FREIGHT ON BOARD PRICE,173.33,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,15-PERCENT BROKEN,1986,September,THAILAND,FREIGHT ON BOARD PRICE,160.5,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,25-PERCENT BROKEN,1986,September,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,35-PERCENT BROKEN,1986,September,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SUPER,1986,September,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
